id,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,Scored Labels
1922059278,255000.0,3,1.0,11880,1.0,0,0,3,0,1960,0,1150,9435,236175.52849700686
2316400285,495000.0,4,3.5,18042,2.0,0,0,3,0,2003,0,1960,21107,1276075.4748773212
3432501295,290000.0,3,1.0,8145,1.0,0,0,4,160,1932,0,1200,8145,265513.20646780136
635000145,565000.0,2,1.75,4736,1.5,0,2,4,700,1907,0,2020,4215,777260.738781321
1861400116,605000.0,3,3.25,2400,2.0,0,0,3,460,1988,0,2200,3600,648332.6967356725
9265880170,550000.0,4,2.5,5954,2.0,0,0,3,0,2013,0,2470,4800,422556.1463618941
3363400655,549000.0,2,2.0,6000,1.5,0,0,5,760,1906,0,1280,3900,551910.637577344
723049533,271000.0,4,1.75,9112,1.0,0,0,3,520,1940,0,1650,8411,406281.83603825636
5628400080,420000.0,3,2.25,9800,1.0,0,0,4,500,1959,0,1680,9545,414314.65900967305
2824069142,510000.0,3,2.0,11325,1.0,0,0,3,0,1980,0,2330,3474,434016.4990722757
3023000050,310000.0,3,2.5,10137,2.0,0,0,3,0,2010,0,2000,6935,454338.2381820134
686300450,720000.0,4,2.25,8400,2.0,0,0,5,0,1965,0,1910,8056,548667.3654839403
2591820080,435000.0,4,2.5,10375,2.0,0,0,4,0,1986,0,2220,8508,496834.7134918652
6084600330,260000.0,3,1.75,8511,1.0,0,0,3,330,1985,0,1580,7218,320194.24579309096
1568100300,350000.0,6,4.5,8504,2.0,0,0,3,0,1980,0,1550,8460,615789.7715821617
8029550180,450000.0,4,2.5,4616,2.0,0,0,3,400,2001,0,2260,5200,479588.35291967186
8682310460,498800.0,2,1.75,4614,1.0,0,0,3,0,2008,0,1680,4775,489374.58912204957
9510971070,675000.0,3,2.5,4134,2.0,0,0,3,0,2004,0,2390,4134,487296.580750415
1531000030,720000.0,4,2.5,39683,2.0,0,0,3,0,2002,0,3350,39750,773097.7608953061
8106300090,479950.0,3,2.5,4984,1.0,0,0,3,1060,2006,0,2810,5711,581439.351762946
1523069022,300000.0,3,1.5,82764,1.0,0,0,4,0,1948,0,1680,199069,315382.29843031935
4113800300,600000.0,4,2.5,7744,2.0,0,0,3,0,1994,0,2820,11129,652773.1254301704
2594200375,427500.0,3,1.75,7200,1.0,0,0,5,0,1942,0,1640,7200,427308.7589357553
6669000070,1000000.0,4,1.75,11436,1.0,0,0,5,0,1967,0,2100,12052,474255.3923074241
9828701650,399000.0,2,1.0,3400,1.0,0,0,3,0,1946,0,1570,4512,416951.5389289036
908000010,360000.0,5,2.5,6902,1.0,0,0,3,1200,1976,2007,2080,5586,684979.3748342585
